Eddelak
 53,9569       9,1504        12            1            Azimut = 0    Höhe = 15

 y, m, dm, h,G_Gh,G_Dh,G_Gk,G_Dk, Ta,Snd,RR, FF, RH
 2005, 1, 12, 17,0,0,0,0,-10.6,27,0.0,3.8,100
 2005, 1, 12, 18,0,0,0,0,-10.4,27,0.0,4.8,100
 2005, 1, 12, 19,0,0,0,0,-10.2,27,0.0,5.4,100
 2005, 1, 12, 20,0,0,0,0,-10.4,37,1.9,3.4,99
 2005, 1, 12, 21,0,0,0,0,-10.0,40,0.6,3.6,98
 2005, 1, 12, 22,0,0,0,0,-9.7,41,0.3,2.9,98
 2005, 1, 12, 23,0,0,0,0,-9.5,42,0.1,2.2,98
 2005, 1, 12, 24,0,0,0,0,-9.3,42,0.0,1.4,99
 2005, 1, 13, 1,0,0,0,0,-8.9,42,0.0,1.8,99
 2005, 1, 13, 2,0,0,0,0,-8.4,42,0.0,2.0,99
 2005, 1, 13, 3,0,0,0,0,-7.9,42,0.0,2.6,99
 2005, 1, 13, 4,0,0,0,0,-7.6,41,0.0,4.0,99
 2005, 1, 13, 5,0,0,0,0,-7.3,41,0.0,3.4,99
 2005, 1, 13, 6,0,0,0,0,-7.0,41,0.0,4.3,99
 2005, 1, 13, 7,0,0,0,0,-6.8,41,0.0,5.0,99
 2005, 1, 13, 8,0,0,0,0,-6.6,41,0.0,4.6,99
 2005, 1, 13, 9,0,0,0,0,-6.5,41,0.0,4.0,99
 2005, 1, 13, 10,13,13,11,11,-5.7,41,0.0,4.6,99
 2005, 1, 13, 11,31,31,29,29,-4.7,41,0.0,4.8,98
 2005, 1, 13, 12,51,51,50,50,-3.6,40,0.0,3.6,96
 2005, 1, 13, 13,55,55,53,53,-2.9,40,0.0,3.4,95
 2005, 1, 13, 14,48,48,46,46,-2.5,40,0.0,3.4,94
 2005, 1, 13, 15,35,35,33,33,-2.4,40,0.0,2.9,90
 2005, 1, 13, 16,16,16,15,15,-2.7,40,0.0,2.6,90
 2005, 1, 13, 17,0,0,0,0,-3.2,40,0.0,2.7,92
 2005, 1, 13, 18,0,0,0,0,-3.2,42,0.4,3.4,93
 2005, 1, 13, 19,0,0,0,0,-3.2,45,0.8,5.2,94
 2005, 1, 13, 20,0,0,0,0,-3.5,57,2.3,4.6,98
 2005, 1, 13, 21,0,0,0,0,-2.9,57,0.0,3.6,95
 2005, 1, 13, 22,0,0,0,0,-2.9,58,0.2,3.4,97
 2005, 1, 13, 23,0,0,0,0,-2.8,58,0.0,5.0,97
 2005, 1, 13, 24,0,0,0,0,-2.7,58,0.1,3.6,93
 2005, 1, 14, 1,0,0,0,0,-3.0,58,0.0,3.6,96
 2005, 1, 14, 2,0,0,0,0,-3.2,58,0.0,3.2,94
 2005, 1, 14, 3,0,0,0,0,-3.4,58,0.0,2.1,97
 2005, 1, 14, 4,0,0,0,0,-3.5,57,0.0,1.8,97
 2005, 1, 14, 5,0,0,0,0,-3.6,57,0.0,1.7,96
 2005, 1, 14, 6,0,0,0,0,-3.7,57,0.0,1.5,95
 2005, 1, 14, 7,0,0,0,0,-3.8,57,0.0,1.2,95
 2005, 1, 14, 8,0,0,0,0,-3.9,57,0.0,1.3,95
 2005, 1, 14, 9,0,0,0,0,-3.8,57,0.0,1.7,95
 2005, 1, 14, 10,58,43,113,64,-1.8,57,0.0,1.8,91
 2005, 1, 14, 11,80,68,107,80,-0.7,57,0.0,1.4,81
 2005, 1, 14, 12,15,15,13,13,-1.2,56,0.0,1.3,82
 2005, 1, 14, 13,94,89,101,91,-0.4,56,0.0,0.8,77
 2005, 1, 14, 14,207,107,339,139,1.4,56,0.0,0.3,71
 2005, 1, 14, 15,92,69,131,81,1.6,56,0.0,0.8,70
 2005, 1, 14, 16,57,43,101,59,1.3,55,0.0,1.0,71
 2005, 1, 14, 17,2,2,2,2,0.4,55,0.0,1.2,73
 2005, 1, 14, 18,0,0,0,0,0.0,55,0.0,1.4,75
 2005, 1, 14, 19,0,0,0,0,-0.4,55,0.0,1.4,74
 2005, 1, 14, 20,0,0,0,0,-0.8,55,0.0,1.9,78
 2005, 1, 14, 21,0,0,0,0,-1.2,55,0.0,2.5,78
 2005, 1, 14, 22,0,0,0,0,-1.6,55,0.0,2.2,82
 2005, 1, 14, 23,0,0,0,0,-2.0,54,0.0,2.4,83
 2005, 1, 14, 24,0,0,0,0,-2.4,54,0.0,2.4,86
 2005, 1, 15, 1,0,0,0,0,-2.9,54,0.0,2.4,90
 2005, 1, 15, 2,0,0,0,0,-3.5,54,0.0,2.7,91
 2005, 1, 15, 3,0,0,0,0,-4.1,55,0.2,3.0,94
 2005, 1, 15, 4,0,0,0,0,-4.4,55,0.0,4.0,92
 2005, 1, 15, 5,0,0,0,0,-4.8,55,0.0,4.6,96
 2005, 1, 15, 6,0,0,0,0,-5.2,55,0.0,5.0,94
 2005, 1, 15, 7,0,0,0,0,-5.5,54,0.0,5.2,92
 2005, 1, 15, 8,0,0,0,0,-5.7,54,0.0,5.7,92
 2005, 1, 15, 9,0,0,0,0,-5.9,54,0.0,4.8,96
 2005, 1, 15, 10,25,25,24,24,-5.4,54,0.0,4.0,93
 2005, 1, 15, 11,70,68,76,71,-4.6,54,0.0,2.9,92
 2005, 1, 15, 12,106,93,128,103,-3.8,54,0.0,2.4,93
 2005, 1, 15, 13,81,81,82,82,-3.6,54,0.0,2.2,94
 2005, 1, 15, 14,73,73,74,74,-3.6,54,0.0,2.6,93
 2005, 1, 15, 15,48,48,47,47,-3.9,53,0.0,3.6,98
 2005, 1, 15, 16,19,19,17,17,-4.4,53,0.0,5.4,97
 2005, 1, 15, 17,1,1,1,1,-5.0,53,0.0,5.2,99
